File,Line,Method,Endpoint,Full_URL
"src/app/(admin)/settings/online-ordering/menu/page.tsx",141,GET,"/api/menu/items/{id}","/api/menu/items/${item.id}"
"src/app/(admin)/settings/online-ordering/menu/page.tsx",159,GET,"/api/menu/items/{id}","/api/menu/items/${itemId}"
"src/app/(admin)/settings/online-ordering/menu/page.tsx",184,GET,"/api/menu/items/{id}/modifier-groups/{id}","/api/menu/items/${itemId}/modifier-groups/${mg.id}"
"src/app/(admin)/settings/online-ordering/menu/page.tsx",85,GET,"/api/menu","/api/menu?locationId=${locationId}"
"src/app/(admin)/settings/online-ordering/notifications/page.tsx",28,GET,"/api/settings/online-ordering","/api/settings/online-ordering?locationId=${employee.location.id}"
"src/app/(admin)/settings/online-ordering/orders/page.tsx",56,GET,"/api/settings/online-ordering","/api/settings/online-ordering?locationId=${locationId}"
"src/app/(admin)/settings/online-ordering/page.tsx",101,GET,"/api/settings/online-ordering","/api/settings/online-ordering?locationId=${locationId}"
"src/app/(admin)/settings/online-ordering/page.tsx",120,GET,"/api/locations/{id}","/api/locations/${locationId}"
"src/app/(admin)/settings/online-ordering/payments/page.tsx",34,GET,"/api/settings/online-ordering","/api/settings/online-ordering?locationId=${employee.location.id}"
"src/app/(admin)/settings/order-types/page.tsx",138,GET,"/api/order-types/{id}","/api/order-types/${orderType.id}"
"src/app/(admin)/settings/order-types/page.tsx",22,GET,"/api/order-types","/api/order-types?locationId=${locationId}&includeInactive=true"
"src/app/(admin)/settings/order-types/page.tsx",44,GET,"/api/order-types/{id}","/api/order-types/${orderType.id}"
"src/app/(admin)/settings/order-types/page.tsx",86,GET,"/api/order-types/{id}","/api/order-types/${editingType.id}"
"src/app/(admin)/settings/orders/closed/page.tsx",131,GET,"/api/employees","/api/employees?locationId=${locationId}&includeInactive=false"
"src/app/(admin)/settings/orders/closed/page.tsx",155,GET,"/api/orders/closed","/api/orders/closed?${params}"
"src/app/(admin)/settings/page.tsx",56,GET,"/api/hardware/terminals","/api/hardware/terminals?locationId=${locationId}"
"src/app/(admin)/settings/page.tsx",57,GET,"/api/hardware/printers","/api/hardware/printers?locationId=${locationId}"
"src/app/(admin)/settings/page.tsx",58,GET,"/api/hardware/kds-screens","/api/hardware/kds-screens?locationId=${locationId}"
"src/app/(admin)/settings/page.tsx",81,GET,"/api/hardware/payment-readers","/api/hardware/payment-readers?locationId=${locationId}&activeOnly=true"
"src/app/(admin)/settings/payments/page.tsx",81,GET,"/api/datacap/batch","/api/datacap/batch?locationId=${locationId}&readerId=${readerId}"
"src/app/(admin)/settings/payments/page.tsx",98,GET,"/api/hardware/payment-readers","/api/hardware/payment-readers?locationId=${locationId}"
"src/app/(admin)/settings/tip-outs/page.tsx",102,GET,"/api/roles","/api/roles?locationId=${locationId}"
"src/app/(admin)/settings/tip-outs/page.tsx",103,GET,"/api/tip-out-rules","/api/tip-out-rules?locationId=${locationId}"
"src/app/(admin)/settings/tip-outs/page.tsx",212,GET,"/api/tip-out-rules/{id}","/api/tip-out-rules/${ruleId}"
"src/app/(admin)/settings/tip-outs/page.tsx",239,GET,"/api/tip-out-rules/{id}","/api/tip-out-rules/${rule.id}"
